CMDLINE uvicorn fastapi_app:app
MEM 1.914062 1768699327.6358
MEM 30.363281 1768699327.7401
MEM 39.769531 1768699327.8441
MEM 43.339844 1768699327.9487
MEM 46.339844 1768699328.0532
MEM 48.652344 1768699328.1576
MEM 48.664062 1768699328.2620
MEM 51.691406 1768699328.3663
MEM 56.128906 1768699328.4714
MEM 60.613281 1768699328.5759
MEM 60.675781 1768699328.6805
MEM 60.675781 1768699328.7861
MEM 60.675781 1768699328.8904
MEM 60.675781 1768699328.9948
MEM 60.675781 1768699329.0996
MEM 60.675781 1768699329.2045
MEM 66.410156 1768699329.3091
MEM 69.460938 1768699329.4140
MEM 70.378906 1768699329.5193
MEM 71.550781 1768699329.6241
MEM 72.617188 1768699329.7285
MEM 72.980469 1768699329.8333
MEM 74.144531 1768699329.9382
MEM 76.468750 1768699330.0426
MEM 77.507812 1768699330.1471
MEM 82.878906 1768699330.2516
MEM 87.562500 1768699330.3559
MEM 90.808594 1768699330.4605
MEM 94.515625 1768699330.5652
MEM 99.234375 1768699330.6694
MEM 102.304688 1768699330.7737
MEM 108.429688 1768699330.8785
MEM 114.851562 1768699330.9832
MEM 117.664062 1768699331.0880
MEM 122.636719 1768699331.1923
MEM 124.851562 1768699331.2978
MEM 128.812500 1768699331.4021
MEM 130.414062 1768699331.5068
MEM 139.183594 1768699331.6114
MEM 147.152344 1768699331.7161
MEM 149.097656 1768699331.8211
MEM 152.503906 1768699331.9253
MEM 154.125000 1768699332.0303
MEM 154.367188 1768699332.1352
MEM 155.085938 1768699332.2393
MEM 155.734375 1768699332.3433
MEM 155.734375 1768699332.4473
MEM 155.734375 1768699332.5518
MEM 155.734375 1768699332.6567
MEM 155.734375 1768699332.7613
MEM 155.734375 1768699332.8661
MEM 155.734375 1768699332.9702
MEM 155.738281 1768699333.0747
MEM 155.738281 1768699333.1789
MEM 155.738281 1768699333.2833
MEM 155.738281 1768699333.3877
MEM 155.738281 1768699333.4920
MEM 155.738281 1768699333.5972
MEM 155.738281 1768699333.7017
MEM 155.738281 1768699333.8061
MEM 155.738281 1768699333.9108
MEM 155.738281 1768699334.0166
MEM 155.738281 1768699334.1214
MEM 155.738281 1768699334.2254
MEM 155.738281 1768699334.3301
MEM 155.738281 1768699334.4350
MEM 155.738281 1768699334.5394
MEM 155.738281 1768699334.6436
MEM 155.738281 1768699334.7481
MEM 155.738281 1768699334.8525
MEM 155.738281 1768699334.9577
MEM 155.738281 1768699335.0621
MEM 155.738281 1768699335.1675
MEM 155.738281 1768699335.2717
MEM 155.738281 1768699335.3764
MEM 155.738281 1768699335.4809
MEM 155.738281 1768699335.5855
MEM 155.738281 1768699335.6898
MEM 155.738281 1768699335.7941
MEM 155.738281 1768699335.8987
MEM 155.738281 1768699336.0036
MEM 155.738281 1768699336.1077
MEM 155.738281 1768699336.2116
MEM 155.738281 1768699336.3163
MEM 155.738281 1768699336.4207
MEM 155.738281 1768699336.5254
MEM 155.738281 1768699336.6302
MEM 155.738281 1768699336.7354
MEM 155.738281 1768699336.8398
MEM 155.738281 1768699336.9442
MEM 155.738281 1768699337.0496
MEM 155.738281 1768699337.1549
MEM 155.738281 1768699337.2595
MEM 155.738281 1768699337.3639
MEM 155.738281 1768699337.4688
MEM 155.738281 1768699337.5732
MEM 155.738281 1768699337.6776
MEM 155.738281 1768699337.7821
MEM 155.738281 1768699337.8870
MEM 155.738281 1768699337.9916
MEM 155.738281 1768699338.0963
MEM 155.738281 1768699338.2013
MEM 155.738281 1768699338.3059
MEM 155.738281 1768699338.4103
MEM 155.738281 1768699338.5148
MEM 155.738281 1768699338.6195
MEM 155.738281 1768699338.7242
MEM 155.738281 1768699338.8290
MEM 155.738281 1768699338.9338
MEM 155.738281 1768699339.0391
MEM 155.738281 1768699339.1439
MEM 155.738281 1768699339.2487
MEM 155.738281 1768699339.3535
MEM 155.738281 1768699339.4580
MEM 155.738281 1768699339.5632
MEM 155.738281 1768699339.6681
MEM 155.738281 1768699339.7731
MEM 155.738281 1768699339.8778
MEM 155.738281 1768699339.9822
MEM 155.738281 1768699340.0870
MEM 155.738281 1768699340.1912
MEM 155.738281 1768699340.2950
MEM 155.738281 1768699340.3994
MEM 155.738281 1768699340.5037
MEM 155.738281 1768699340.6080
MEM 155.738281 1768699340.7126
MEM 155.738281 1768699340.8172
MEM 155.738281 1768699340.9218
MEM 155.738281 1768699341.0263
MEM 155.738281 1768699341.1325
MEM 155.738281 1768699341.2381
MEM 155.738281 1768699341.3424
MEM 155.738281 1768699341.4466
MEM 155.738281 1768699341.5508
MEM 155.738281 1768699341.6557
MEM 155.738281 1768699341.7600
MEM 155.738281 1768699341.8642
MEM 155.738281 1768699341.9697
MEM 155.738281 1768699342.0740
MEM 155.738281 1768699342.1789
MEM 159.246094 1768699342.2871
MEM 163.546875 1768699342.3944
MEM 164.878906 1768699342.5013
MEM 165.910156 1768699342.6081
MEM 167.023438 1768699342.7204
MEM 168.203125 1768699342.8348
MEM 169.468750 1768699342.9451
MEM 170.269531 1768699343.0567
MEM 171.679688 1768699343.1681
MEM 172.539062 1768699343.2774
MEM 173.886719 1768699343.3858
MEM 175.394531 1768699343.4946
MEM 176.234375 1768699343.6007
MEM 177.273438 1768699343.7073
MEM 178.449219 1768699343.8138
MEM 180.000000 1768699343.9219
MEM 181.195312 1768699344.0279
MEM 182.324219 1768699344.1334
MEM 182.332031 1768699344.2390
MEM 182.367188 1768699344.3432
MEM 182.425781 1768699344.4482
MEM 182.425781 1768699344.5548
MEM 182.539062 1768699344.6638
MEM 182.539062 1768699344.7691
MEM 182.542969 1768699344.8743
MEM 182.562500 1768699344.9804
MEM 182.562500 1768699345.0852
MEM 182.562500 1768699345.1891
MEM 182.562500 1768699345.2938
MEM 182.562500 1768699345.3984
MEM 182.566406 1768699345.5027
MEM 182.566406 1768699345.6077
MEM 182.566406 1768699345.7123
MEM 182.566406 1768699345.8172
MEM 182.566406 1768699345.9216
MEM 182.566406 1768699346.0262
MEM 182.566406 1768699346.1313
MEM 182.566406 1768699346.2354
MEM 182.566406 1768699346.3405
MEM 182.566406 1768699346.4450
MEM 182.566406 1768699346.5495
MEM 182.566406 1768699346.6541
MEM 182.566406 1768699346.7586
MEM 182.566406 1768699346.8632
MEM 182.566406 1768699346.9675
MEM 182.566406 1768699347.0749
MEM 182.566406 1768699347.1798
